sale_price,lot_area,finished_living_area,bedrooms
2865000,11341,2603,4
1700000,31655,0,0
1200000,66366,6057,6
1068838,55844,5149,6
899900,23100,4914,8
899900,23100,1274,5
895000,16492,0,0
801000,281833,4012,4
793000,43896,4901,4
737000,12335,5196,5
736281,7238,0,0
730000,29410,3477,4
692843,6953,3034,3
660761,6627,2600,3
660761,6598,2600,3
660000,102893,0,0
660000,56198,4130,4
640000,12679,4318,5
637500,14429,6312,6
634536,6917,2817,3
625000,13915,3285,4
619221,13546,3320,4
619000,18559,4638,7
618000,11763,5206,5
615000,10727,3345,5
615000,10727,3673,4
610000,18135,1473,4
610000,4200,352,1
610000,6840,755,2
599000,13277,3694,4
595000,122616,2637,3
590000,18135,5092,0
587346,14202,3072,4
585000,9559,3359,5
580000,13080,0,0
580000,19486,4843,5
576000,9200,3291,5
575000,28926,4077,4
575000,14573,3272,4
571000,9891,3015,4
567806,9852,3075,4
554665,5157,2354,3
554000,14592,3764,4
551790,11568,0,0
550000,46990,3650,3
550000,12478,4000,4
530000,12539,3890,5
530000,12480,3278,5
529940,12421,3252,5
528560,8848,3069,5
525000,39204,1344,3
525000,14000,3024,4
525000,49195,3340,5
525000,10556,3431,5
518137,4761,1614,2
503124,9040,3292,5
500000,11617,2992,4
500000,9455,2942,4
498000,13873,3034,4
492500,10660,2999,5
490000,13265,2939,4
490000,11280,2864,4
488841,7220,2381,4
487387,8840,0,0
487136,9890,2609,4
485000,11887,3556,4
481419,10618,2925,5
479562,5889,1887,3
478405,11400,3237,5
476402,5889,1770,3
475000,13697,3612,5
470000,10800,3226,4
470000,11247,3012,5
469900,11635,3229,4
468000,54801,2531,4
465000,7200,747,3
465000,8088,740,2
460059,13000,2585,5
460000,11931,4434,5
460000,14541,3532,6
458000,13162,3940,5
457500,14880,3177,4
450000,15138,3483,5
449900,13343,3067,5
447000,9211,0,0
447000,11356,2758,5
446900,12804,3224,6
446500,11900,2658,4
445000,11250,3024,4
442308,8668,1467,3
442000,14226,3121,4
440761,10400,2787,5
437500,14650,3166,5
436000,10005,2706,4
435000,15800,3496,4
434066,13596,2610,4
433433,13680,1467,3
432000,9894,2492,4
431000,13209,3068,5
429000,10868,2813,5
427500,16050,1783,5
427455,36709,0,0
425000,20064,2681,3
423000,117176,1915,4
421000,9900,3633,4
420500,12890,3201,5
420000,9955,3070,3
420000,10750,3589,4
419900,10304,2837,4
417500,16065,2859,4
417100,15417,3220,5
417000,13011,2683,5
416000,15330,3438,6
415000,9100,2975,5
415000,15815,1640,3
415000,13605,2771,3
415000,26100,2884,4
415000,10105,3345,5
412375,15256,2414,5
410000,21460,2534,4
410000,10136,2419,3
410000,11050,3433,5
409877,9520,2819,5
408905,9595,2453,3
408500,11613,2807,4
407750,10389,3660,5
405000,12228,3177,4
405000,18353,3686,3
403800,10566,3194,4
400000,12434,3729,5
400000,17844,4202,4
398000,8125,2997,5
396459,12150,2072,4
395000,11394,3299,4
395000,12852,2564,4
394720,10893,1835,3
394267,8663,0,0
394000,13687,0,0
394000,9582,0,0
394000,8454,0,0
394000,8455,0,0
394000,8456,0,0
393080,17494,1404,3
